address,zip_code,price,bed,bath,sqr_footage,property_link
1534 Harwood St #304,V6G 1X9,"$310,000",1 bed,1 bath,534 ,https://www.redfin.com/bc/vancouver/1534-Harwood-St-V6G-2J1/unit-304/home/155249417
1171 Jervis St #1901,V6E 0C9,"$3,688,000",2 beds,2.5 baths,"2,342 ",https://www.redfin.com/bc/vancouver/1171-Jervis-St-V6E-1N5/unit-1901/home/168611834
1315 Cardero St #604,V6G 2J2,"$1,100,000",1 bed,1.5 baths,"1,027 ",https://www.redfin.com/bc/vancouver/1315-Cardero-St-V6G-2J2/unit-604/home/155531528
1009 Harwood St #905,V6E 0C2,"$875,000",1 bed,1 bath,715 ,https://www.redfin.com/bc/vancouver/1009-Harwood-St-V6Z-0C2/unit-905/home/168612317
1565 Burnaby St #201,V6G 1X1,"$725,000",2 beds,1 bath,823 ,https://www.redfin.com/bc/vancouver/1565-Burnaby-St-V6G-1X1/unit-201/home/155460190
1330 Burrard St #209,V6Z 2B8,"$485,000",1 bed,1 bath,462 ,https://www.redfin.com/bc/vancouver/1330-Burrard-St-V6Z-2B8/unit-209/home/155677607
1330 Burrard St #615,V6Z 2B8,"$549,900",1 bed,1 bath,618 ,https://www.redfin.com/bc/vancouver/1330-Burrard-St-V6Z-2B8/unit-615/home/155971808
1386 Nicola St #42,V6G 2G2,"$2,499,000",2 beds,2 baths,"1,597 ",https://www.redfin.com/bc/vancouver/1386-Nicola-St-V6G-2G2/unit-42/home/155356755
1171 Jervis St #1004,V6E 0C9,"$1,699,900",2 beds,2 baths,"1,160 ",https://www.redfin.com/bc/vancouver/1171-Jervis-St-V6E-1N5/unit-1004/home/168611807
1575 Beach Ave #303,V6G 1Y5,"$730,000",1 bed,1 bath,648 ,https://www.redfin.com/bc/vancouver/1575-Beach-Ave-V6G-1Y5/unit-303/home/155177178
1355 Harwood St #203,V6E 3W3,"$899,000",2 beds,2 baths,"1,063 ",https://www.redfin.com/bc/vancouver/1355-Harwood-St-V6E-3W3/unit-203/home/155203792
1365 Davie St #1503,V6E 1N5,"$2,349,999",2 beds,2.5 baths,"1,330 ",https://www.redfin.com/bc/vancouver/1365-Davie-St-V6E-1N5/unit-1503/home/181553305
1419 Beach Ave #402,V6G 1Y3,"$1,869,000",2 beds,2.5 baths,"1,399 ",https://www.redfin.com/bc/vancouver/1419-Beach-Ave-V6G-1Y3/unit-402/home/155574764
1534 Harwood St #1101,V7G 2J1,"$429,000",1 bed,1 bath,540 ,https://www.redfin.com/bc/vancouver/1534-Harwood-St-V6G-2J1/unit-1101/home/171098689
