,address,bedroom,bathroom,square_footage,price,postalCode,latitude,longitude,property_link,discrepancies
0,1010 Beach Ave #401,2.0,2.0,1602.0,1599000.0,V6E 1T7,,,https://www.redfin.com/bc/vancouver/1010-Beach-Ave-V6E-1T7/unit-401/home/155147480,
1,1010 Howe St #909,1.0,,500.0,579000.0,V6Z 1P5,49.2796103,49.2796103,https://www.redfin.ca/bc/vancouver/1010-Howe-St-V6Z-1P5/unit-909/home/155742509,
2,1010 W 42nd Ave #203,2.0,,956.0,749000.0,V6M 2A8,49.2328493,49.2328493,https://www.redfin.ca/bc/vancouver/1010-W-42nd-Ave-V6M-2A8/unit-203/home/156163319,
3,1010 W 42nd Ave #203,,,,749000.0,V6M 2A8,49.2328493,-123.1285759,https://www.redfin.ca/bc/vancouver/1010-W-42nd-Ave-V6M-2A8/unit-203/home/156163319,
4,1019 Expo Blvd,3.0,,1593.0,1599000.0,V6Z 2W1,49.275064,49.275064,https://www.redfin.ca/bc/vancouver/1019-Expo-Blvd-V6B-6J7/home/155762034,
5,1019 Expo Blvd,,,,1599000.0,V6Z 2W1,49.275064,-123.1177958,https://www.redfin.ca/bc/vancouver/1019-Expo-Blvd-V6B-6J7/home/155762034,
6,1026 Clark Dr,7.0,2.5,1739.0,1500000.0,V5L 3J9,,,https://www.redfin.com/bc/vancouver/1026-Clark-Dr-V5L-3J9/home/156809699,
7,1032 Clark Dr,2.0,1.0,1087.0,1500000.0,V5L 3J9,,,https://www.redfin.com/bc/vancouver/1032-Clark-Dr-V5L-3J9/home/156939807,
8,1033 E 10th Ave,4.0,,1378.0,1399000.0,V5T 2B4,49.2616494,49.2616494,https://www.redfin.ca/bc/vancouver/1033-E-10th-Ave-V5T-2B4/home/155822139,
9,1033 Nelson St #2106,2.0,,1181.0,2888800.0,V6E 0E5,49.2819318,49.2819318,https://www.redfin.ca/bc/vancouver/1033-Nelson-St-V6E-0E4/unit-2106/home/195320271,
10,1050 Burrard St #2103,2.0,,985.0,1150000.0,V6Z 2S3,49.2800317,49.2800317,https://www.redfin.ca/bc/vancouver/1050-Burrard-St-V6Z-2S3/unit-2103/home/155675415,
11,1050 Burrard St #2103,,,,1150000.0,V6Z 2S3,49.2800317,-123.1266181,https://www.redfin.ca/bc/vancouver/1050-Burrard-St-V6Z-2S3/unit-2103/home/155675415,
12,1055 Homer St #1806,1.0,,771.0,897999.0,V6B 1G3,49.2768984,49.2768984,https://www.redfin.ca/bc/vancouver/1055-Homer-St-V6B-1G3/unit-1806/home/155681046,
13,1055 Homer St #1806,,,,,V6B 1G3,49.2768984,-123.1211363,https://www.redfin.ca/bc/vancouver/1055-Homer-St-V6B-1G3/unit-1806/home/155681046,
14,1071 E 22nd Ave,3.0,,1511.0,1799900.0,V5V 1W2,49.2511193,49.2511193,https://www.redfin.ca/bc/vancouver/1071-E-22nd-Ave-V5V-1W2/home/195293529,
15,1071 E 22nd Ave,,,,1799900.0,V5V 1W2,49.2511193,-123.0823309,https://www.redfin.ca/bc/vancouver/1071-E-22nd-Ave-V5V-1W2/home/195293529,
16,1075 W 13th Ave #102,2.0,,933.0,815000.0,V6H 1N1,49.2599583,49.2599583,https://www.redfin.ca/bc/vancouver/1075-W-13th-Ave-V6H-1N1/unit-102/home/155650254,
17,1075 W 13th Ave #102,,,,815000.0,V6H 1N1,49.2599583,-123.1284295,https://www.redfin.ca/bc/vancouver/1075-W-13th-Ave-V6H-1N1/unit-102/home/155650254,
18,108 E 1st Ave #523,1.0,,622.0,739900.0,V5T 0E4,49.2698759,49.2698759,https://www.redfin.ca/bc/vancouver/108-E-1st-Ave-V5T-0E4/unit-523/home/155949013,
19,108 E 1st Ave #523,,,,739900.0,V5T 0E4,49.2698759,-123.1020958,https://www.redfin.ca/bc/vancouver/108-E-1st-Ave-V5T-0E4/unit-523/home/155949013,
