,index,address,zip_code,price,bed,bath,sqr_footage,property_link
0,0,4091 W 34th Ave,V6N 2L6,"$2,788,000",5 beds,2 baths,"1,653 ",https://www.redfin.com/bc/vancouver/4091-W-34th-Ave-V6N-2L6/home/156113080
1,1,4067 W 37th Ave,V6N 2W6,"$4,800,000",6 beds,4 baths,"4,189 ",https://www.redfin.com/bc/vancouver/4067-W-37th-Ave-V6N-2W6/home/156032327
2,2,4056 W 36th Ave,V6N 2S9,"$6,750,000",4 beds,3 baths,"3,837 ",https://www.redfin.com/bc/vancouver/4056-W-36th-Ave-V6N-2S9/home/156111326
3,3,3968 W 23rd Ave,V6S 1L2,"$3,388,000",4 beds,3.5 baths,"2,359 ",https://www.redfin.com/bc/vancouver/3968-W-23rd-Ave-V6S-1L2/home/155815944
4,4,4022 W 30th Ave,V6S 1X5,"$6,590,000",5 beds,5.5 baths,"4,190 ",https://www.redfin.com/bc/vancouver/4022-W-30th-Ave-V6S-1X5/home/155810963
5,5,3963 W 20th Ave,V6S 1G3,"$4,498,000",3 beds,3.5 baths,"2,779 ",https://www.redfin.com/bc/vancouver/3963-W-20th-Ave-V6S-1G3/home/155813247
6,6,3982 W 29th Ave,V6S 1T9,"$3,499,000",5 beds,3.5 baths,"3,355 ",https://www.redfin.com/bc/vancouver/3982-W-29th-Ave-V6S-1T9/home/155799272
7,7,3996 W 31st Ave,V6S 1Y5,"$4,437,000",4 beds,5 baths,"2,988 ",https://www.redfin.com/bc/vancouver/3996-W-31st-Ave-V6S-1Y5/home/155752796
8,8,4077 W 18th St #2,V6S 1B9,"$2,628,000",3 beds,3.5 baths,"1,738 ",https://www.redfin.com/bc/vancouver/4077-W-18th-Ave-V6S-1B9/unit-2/home/194943881
9,9,4089 W 19th Ave,V6S 1E2,"$6,188,000",7 beds,6.5 baths,"3,895 ",https://www.redfin.com/bc/vancouver/4089-W-19th-Ave-V6S-1E2/home/155745572
10,10,4090 W 35th Ave,V6N 2P3,"$3,390,000",3 beds,2 baths,"2,676 ",https://www.redfin.com/bc/vancouver/4090-W-35th-Ave-V6N-2P3/home/156130185
