,address,zip_code,price,bed,bath,sqr_footage,property_link
0,2028 W 11th Ave #402,V6J 2C9,"$649,000",1 bed,1 bath,590 ,https://www.redfin.com/bc/vancouver/2028-W-11th-Ave-V6J-2C9/unit-402/home/155298347
1,2323 Fir St #302,V6J 5J9,"$871,900",1 bed,1 bath,498 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-302/home/190145821
2,2070 W 14th Ave,V6J 2K4,"$3,880,000",8 beds,4 baths,"4,079 ",https://www.redfin.com/bc/vancouver/2070-W-14th-Ave-V6J-2K4/home/155380657
3,2799 Yew St #702,V6K 4W2,"$1,529,000",1 bed,2 baths,"1,286 ",https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-702/home/155583853
4,2063 W 10th Ave,V6J 0H1,"$1,489,000",2 beds,2.5 baths,"1,254 ",https://www.redfin.com/bc/vancouver/2063-W-10th-Ave-V6J-1Z4/home/168458498
5,1880 W 6th Ave #411,V6J 1R6,"$1,149,000",2 beds,1.5 baths,"1,174 ",https://www.redfin.com/bc/vancouver/1880-W-6th-Ave-V6J/unit-411/home/155508198
6,2330 Maple St #208,V6J 3T6,"$535,000",1 bed,1 bath,536 ,https://www.redfin.com/bc/vancouver/2330-Maple-St-V6J-3T6/unit-208/home/155436535
7,2161 W 12th Ave #202,V6K 4S7,"$999,900",2 beds,2 baths,903 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-202/home/155709227
8,1777 W 13th Ave #310,V6J 2H2,"$948,800",2 beds,1.5 baths,"1,122 ",https://www.redfin.com/bc/vancouver/1777-W-13th-Ave-V6J-2H2/unit-310/home/168575720
9,1595 W 14 Ave #201,V6J 2J1,"$950,000",2 beds,1.5 baths,"1,136 ",https://www.redfin.com/bc/vancouver/1595-W-14th-Ave-V6J-2J1/unit-201/home/155357305
10,1956 W 5th Ave,V6J 1P7,"$1,698,000",3 beds,3 baths,"1,339 ",https://www.redfin.com/bc/vancouver/1956-W-5th-Ave-V6J-1P7/home/155446247
11,1990 W 6th Ave #112,V6J 4V4,"$649,000",1 bed,1 bath,732 ,https://www.redfin.com/bc/vancouver/1990-W-6th-Ave-V6J-4V4/unit-112/home/155328486
12,1937 W 12th Ave,V6J 2G1,"$899,000",2 beds,1.5 baths,"1,148 ",https://www.redfin.com/bc/vancouver/1937-W-12th-Ave-V6J-2G1/home/155391511
13,2228 W Broadway #703,V6K 0B1,"$799,800",1 bed,1 bath,663 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-703/home/155934596
14,1720 W 12th Ave #204,V6J 2E6,"$1,069,000",3 beds,1.5 baths,"1,177 ",https://www.redfin.com/bc/vancouver/1720-W-12th-Ave-V6J-2E6/unit-204/home/155434925
15,2228 W Broadway #710,V6K 0B1,"$720,000",1 bed,1 bath,586 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-710/home/155934757
16,2065 W 12th Ave #302,V6J 5L9,"$1,099,000",2 beds,2 baths,"1,098 ",https://www.redfin.com/bc/vancouver/2065-W-12th-Ave-V6J-5L9/unit-302/home/155317602
17,2268 W Broadway #516,V6K 0B2,"$775,000",1 bed,1 bath,668 ,https://www.redfin.com/bc/vancouver/2268-W-Broadway-V6K-0B1/unit-516/home/155581269
18,2020 W 8th Ave #107,V6J 1W5,"$879,000",2 beds,2 baths,860 ,https://www.redfin.com/bc/vancouver/2020-W-8th-Ave-V6J-1W5/unit-107/home/155337469
19,1939 W 12th Ave,V6J 2G1,"$1,099,000",2 beds,1.5 baths,"1,060 ",https://www.redfin.com/bc/vancouver/1939-W-12th-Ave-V6J-2G1/home/155546426
20,2680 Arbutus St #307,V6J 5L8,"$887,800",2 beds,1 bath,809 ,https://www.redfin.com/bc/vancouver/2680-Arbutus-St-V6J-5L8/unit-307/home/155478858
21,2161 W 12th Ave #211,V6K 4S7,"$799,000",1 bed,1 bath,726 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-211/home/155857027
